AREACD,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status
e06000047,2022-09,94.86,Percentage,%,,,
e06000005,2022-09,99.99,Percentage,%,,,
e06000001,2022-09,99.97,Percentage,%,,,
e06000002,2022-09,100.0,Percentage,%,,,
e06000057,2022-09,88.36,Percentage,%,,,
e06000003,2022-09,99.25,Percentage,%,,,
e06000004,2022-09,99.97,Percentage,%,,,
e08000037,2022-09,100.0,Percentage,%,,,
e08000021,2022-09,100.0,Percentage,%,,,
e08000022,2022-09,100.0,Percentage,%,,,
e08000023,2022-09,100.0,Percentage,%,,,
e08000024,2022-09,100.0,Percentage,%,,,
e06000008,2022-09,99.8,Percentage,%,,,
e06000009,2022-09,100.0,Percentage,%,,,
e06000049,2022-09,99.3,Percentage,%,,,
e06000050,2022-09,99.87,Percentage,%,,,
e06000006,2022-09,100.0,Percentage,%,,,
e06000007,2022-09,100.0,Percentage,%,,,
e07000026,2022-09,88.78,Percentage,%,,,
e07000027,2022-09,99.96,Percentage,%,,,
e07000028,2022-09,89.07,Percentage,%,,,
e07000029,2022-09,79.34,Percentage,%,,,
e07000030,2022-09,92.67,Percentage,%,,,
e07000031,2022-09,93.02,Percentage,%,,,
e08000001,2022-09,99.99,Percentage,%,,,
e08000002,2022-09,100.0,Percentage,%,,,
e08000003,2022-09,100.0,Percentage,%,,,
e08000004,2022-09,98.8,Percentage,%,,,
e08000005,2022-09,100.0,Percentage,%,,,
e08000006,2022-09,100.0,Percentage,%,,,
e08000007,2022-09,99.98,Percentage,%,,,
e08000008,2022-09,99.49,Percentage,%,,,
e08000009,2022-09,100.0,Percentage,%,,,
e08000010,2022-09,100.0,Percentage,%,,,
e07000117,2022-09,99.79,Percentage,%,,,
e07000118,2022-09,100.0,Percentage,%,,,
e07000119,2022-09,100.0,Percentage,%,,,
e07000120,2022-09,100.0,Percentage,%,,,
e07000121,2022-09,94.19,Percentage,%,,,
e07000122,2022-09,99.26,Percentage,%,,,
e07000123,2022-09,99.4,Percentage,%,,,
e07000124,2022-09,90.58,Percentage,%,,,
e07000125,2022-09,99.57,Percentage,%,,,
e07000126,2022-09,100.0,Percentage,%,,,
e07000127,2022-09,100.0,Percentage,%,,,
e07000128,2022-09,98.6,Percentage,%,,,
e08000011,2022-09,100.0,Percentage,%,,,
e08000012,2022-09,100.0,Percentage,%,,,
e08000014,2022-09,100.0,Percentage,%,,,
e08000013,2022-09,100.0,Percentage,%,,,
e08000015,2022-09,100.0,Percentage,%,,,
e06000011,2022-09,99.84,Percentage,%,,,
e06000010,2022-09,100.0,Percentage,%,,,
e06000012,2022-09,99.47,Percentage,%,,,
e06000013,2022-09,100.0,Percentage,%,,,
e06000014,2022-09,100.0,Percentage,%,,,
e07000163,2022-09,83.84,Percentage,%,,,
e07000164,2022-09,98.01,Percentage,%,,,
e07000165,2022-09,96.13,Percentage,%,,,
e07000166,2022-09,81.17,Percentage,%,,,
e07000167,2022-09,90.98,Percentage,%,,,
e07000168,2022-09,92.19,Percentage,%,,,
e07000169,2022-09,100.0,Percentage,%,,,
e08000016,2022-09,99.72,Percentage,%,,,
e08000017,2022-09,99.99,Percentage,%,,,
e08000018,2022-09,100.0,Percentage,%,,,
e08000019,2022-09,94.82,Percentage,%,,,
e08000032,2022-09,99.92,Percentage,%,,,
e08000033,2022-09,97.58,Percentage,%,,,
e08000034,2022-09,99.55,Percentage,%,,,
e08000035,2022-09,99.99,Percentage,%,,,
e08000036,2022-09,100.0,Percentage,%,,,
e06000015,2022-09,100.0,Percentage,%,,,
e06000016,2022-09,100.0,Percentage,%,,,
e06000061,2022-09,99.85,Percentage,%,,,
e06000018,2022-09,100.0,Percentage,%,,,
e06000017,2022-09,99.87,Percentage,%,,,
e06000062,2022-09,99.98,Percentage,%,,,
e07000032,2022-09,99.97,Percentage,%,,,
e07000033,2022-09,100.0,Percentage,%,,,
e07000034,2022-09,100.0,Percentage,%,,,
e07000035,2022-09,98.66,Percentage,%,,,
e07000036,2022-09,100.0,Percentage,%,,,
e07000037,2022-09,90.27,Percentage,%,,,
e07000038,2022-09,99.82,Percentage,%,,,
e07000039,2022-09,100.0,Percentage,%,,,
e07000129,2022-09,100.0,Percentage,%,,,
e07000130,2022-09,99.8,Percentage,%,,,
e07000131,2022-09,99.67,Percentage,%,,,
e07000132,2022-09,100.0,Percentage,%,,,
e07000133,2022-09,99.93,Percentage,%,,,
e07000134,2022-09,99.99,Percentage,%,,,
e07000135,2022-09,100.0,Percentage,%,,,
e07000136,2022-09,100.0,Percentage,%,,,
e07000137,2022-09,99.86,Percentage,%,,,
e07000138,2022-09,100.0,Percentage,%,,,
e07000139,2022-09,100.0,Percentage,%,,,
e07000140,2022-09,99.99,Percentage,%,,,
e07000141,2022-09,99.99,Percentage,%,,,
e07000142,2022-09,99.79,Percentage,%,,,
e07000170,2022-09,100.0,Percentage,%,,,
e07000171,2022-09,100.0,Percentage,%,,,
e07000172,2022-09,100.0,Percentage,%,,,
e07000173,2022-09,100.0,Percentage,%,,,
e07000174,2022-09,99.95,Percentage,%,,,
e07000175,2022-09,99.99,Percentage,%,,,
e07000176,2022-09,100.0,Percentage,%,,,
e06000019,2022-09,98.3,Percentage,%,,,
e06000051,2022-09,97.69,Percentage,%,,,
e06000021,2022-09,100.0,Percentage,%,,,
e06000020,2022-09,99.82,Percentage,%,,,
e07000192,2022-09,100.0,Percentage,%,,,
e07000193,2022-09,99.74,Percentage,%,,,
e07000194,2022-09,100.0,Percentage,%,,,
e07000195,2022-09,99.8,Percentage,%,,,
e07000196,2022-09,100.0,Percentage,%,,,
e07000197,2022-09,99.89,Percentage,%,,,
e07000198,2022-09,94.89,Percentage,%,,,
e07000199,2022-09,100.0,Percentage,%,,,
e07000218,2022-09,99.96,Percentage,%,,,
e07000219,2022-09,100.0,Percentage,%,,,
e07000220,2022-09,100.0,Percentage,%,,,
e07000221,2022-09,99.99,Percentage,%,,,
e07000222,2022-09,99.99,Percentage,%,,,
e08000025,2022-09,100.0,Percentage,%,,,
e08000026,2022-09,100.0,Percentage,%,,,
e08000027,2022-09,100.0,Percentage,%,,,
e08000028,2022-09,100.0,Percentage,%,,,
e08000029,2022-09,100.0,Percentage,%,,,
e08000030,2022-09,100.0,Percentage,%,,,
e08000031,2022-09,100.0,Percentage,%,,,
e07000234,2022-09,99.97,Percentage,%,,,
e07000235,2022-09,99.14,Percentage,%,,,
e07000236,2022-09,100.0,Percentage,%,,,
e07000237,2022-09,100.0,Percentage,%,,,
e07000238,2022-09,99.96,Percentage,%,,,
e07000239,2022-09,99.08,Percentage,%,,,
e06000055,2022-09,100.0,Percentage,%,,,
e06000056,2022-09,99.98,Percentage,%,,,
e06000032,2022-09,100.0,Percentage,%,,,
e06000031,2022-09,100.0,Percentage,%,,,
e06000033,2022-09,100.0,Percentage,%,,,
e06000034,2022-09,100.0,Percentage,%,,,
e07000008,2022-09,100.0,Percentage,%,,,
e07000009,2022-09,100.0,Percentage,%,,,
e07000010,2022-09,100.0,Percentage,%,,,
e07000011,2022-09,100.0,Percentage,%,,,
e07000012,2022-09,100.0,Percentage,%,,,
e07000066,2022-09,100.0,Percentage,%,,,
e07000067,2022-09,99.92,Percentage,%,,,
e07000068,2022-09,100.0,Percentage,%,,,
e07000069,2022-09,100.0,Percentage,%,,,
e07000070,2022-09,100.0,Percentage,%,,,
e07000071,2022-09,99.96,Percentage,%,,,
e07000072,2022-09,100.0,Percentage,%,,,
e07000073,2022-09,100.0,Percentage,%,,,
e07000074,2022-09,99.99,Percentage,%,,,
e07000075,2022-09,100.0,Percentage,%,,,
e07000076,2022-09,100.0,Percentage,%,,,
e07000077,2022-09,99.97,Percentage,%,,,
e07000095,2022-09,100.0,Percentage,%,,,
e07000096,2022-09,99.92,Percentage,%,,,
e07000242,2022-09,99.92,Percentage,%,,,
e07000098,2022-09,100.0,Percentage,%,,,
e07000099,2022-09,99.99,Percentage,%,,,
e07000240,2022-09,100.0,Percentage,%,,,
e07000243,2022-09,100.0,Percentage,%,,,
e07000102,2022-09,99.93,Percentage,%,,,
e07000103,2022-09,100.0,Percentage,%,,,
e07000241,2022-09,99.98,Percentage,%,,,
e07000143,2022-09,99.93,Percentage,%,,,
e07000144,2022-09,99.99,Percentage,%,,,
e07000145,2022-09,100.0,Percentage,%,,,
e07000146,2022-09,100.0,Percentage,%,,,
e07000147,2022-09,99.83,Percentage,%,,,
e07000148,2022-09,100.0,Percentage,%,,,
e07000149,2022-09,99.98,Percentage,%,,,
e07000200,2022-09,99.93,Percentage,%,,,
e07000244,2022-09,99.96,Percentage,%,,,
e07000202,2022-09,100.0,Percentage,%,,,
e07000203,2022-09,100.0,Percentage,%,,,
e07000245,2022-09,99.82,Percentage,%,,,
e09000007,2022-09,100.0,Percentage,%,,,
e09000001,2022-09,100.0,Percentage,%,,,
e09000012,2022-09,100.0,Percentage,%,,,
e09000013,2022-09,100.0,Percentage,%,,,
e09000014,2022-09,100.0,Percentage,%,,,
e09000019,2022-09,100.0,Percentage,%,,,
e09000020,2022-09,100.0,Percentage,%,,,
e09000022,2022-09,100.0,Percentage,%,,,
e09000023,2022-09,100.0,Percentage,%,,,
e09000025,2022-09,100.0,Percentage,%,,,
e09000028,2022-09,100.0,Percentage,%,,,
e09000030,2022-09,100.0,Percentage,%,,,
e09000032,2022-09,100.0,Percentage,%,,,
e09000033,2022-09,100.0,Percentage,%,,,
e09000002,2022-09,100.0,Percentage,%,,,
e09000003,2022-09,100.0,Percentage,%,,,
e09000004,2022-09,100.0,Percentage,%,,,
e09000005,2022-09,100.0,Percentage,%,,,
e09000006,2022-09,99.93,Percentage,%,,,
e09000008,2022-09,100.0,Percentage,%,,,
e09000009,2022-09,100.0,Percentage,%,,,
e09000010,2022-09,100.0,Percentage,%,,,
