Period,Environment Surveyed,Region,Measure type,Survey Status,Survey Type,Status of Ground Waters,Status of Surface Waters,Status of Waters Specially Protected for Specific Uses,Unit of Measure
http://reference.data.gov.uk/id/year/2019,Rivers: invertebrates,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,Not at Good Status,Biology,,24.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Coastal waters: saltmarsh,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,Not at Good Status,Biology,,50.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Water quantity,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Ground Waters,Not at Good Status,Ecological Status,27.0,,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Groundwater,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Waters Specially Protected for Specific Uses,At Risk,Drinking Water Protected Areas,,,47.0,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-area
http://reference.data.gov.uk/id/year/2019,Rivers: invertebrates,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,At Good Status,Biology,,76.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Protected wildlife sites,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Waters Specially Protected for Specific Uses,Other,Condition of SSSI Units underpinning European protected Water and Wetland Sites,,,7.0,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-area
http://reference.data.gov.uk/id/year/2019,Coastal waters: saltmarsh,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,At Good Status,Biology,,50.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2020,Surface water,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Waters Specially Protected for Specific Uses,At Risk,Drinking Water Protected Areas,,,48.0,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-area
http://reference.data.gov.uk/id/year/2019,All surface water bodies,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,Other,Ecological Status,,84.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Estuaries: saltmarsh,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,Not at Good Status,Biology,,64.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Groundwater,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Waters Specially Protected for Specific Uses,Not at Risk,Drinking Water Protected Areas,,,53.0,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-area
http://reference.data.gov.uk/id/year/2019,Lakes: phytoplankton,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,Not at Good Status,Biology,,48.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Water quality,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Ground Waters,At Good Status,Ecological Status,45.0,,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2020,Surface water,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Waters Specially Protected for Specific Uses,Not at Risk,Drinking Water Protected Areas,,,52.0,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-area
http://reference.data.gov.uk/id/year/2019,Estuaries: saltmarsh,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,At Good Status,Biology,,36.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Rivers: plants and algae,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,Not at Good Status,Biology,,55.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,All surface water bodies,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,At Good Status,Ecological Status,,16.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Lakes: phytoplankton,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,At Good Status,Biology,,52.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Water quality,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Ground Waters,Not at Good Status,Ecological Status,55.0,,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Rivers: plants and algae,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Surface Waters,At Good Status,Biology,,45.0,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
http://reference.data.gov.uk/id/year/2019,Protected wildlife sites,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Waters Specially Protected for Specific Uses,Favourable,Condition of SSSI Units underpinning European protected Water and Wetland Sites,,,46.0,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-area
http://reference.data.gov.uk/id/year/2019,Protected wildlife sites,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Waters Specially Protected for Specific Uses,Unfavourable Recovering,Condition of SSSI Units underpinning European protected Water and Wetland Sites,,,47.0,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-area
http://reference.data.gov.uk/id/year/2019,Water quantity,http://statistics.data.gov.uk/id/statistical-geography/E92000001,Status of Ground Waters,At Good Status,Ecological Status,73.0,,,http://gss-data.org.uk/def/concept/measurement-units/percentage-of-water-bodies-assessed
