Year,Section Notation,Industry Section Name,Fuel,Value,Marker
1990,A,"Agriculture, forestry and fishing",Carbon based fuels,2.017,
1991,A,"Agriculture, forestry and fishing",Carbon based fuels,2.077,
1992,A,"Agriculture, forestry and fishing",Carbon based fuels,2.147,
1993,A,"Agriculture, forestry and fishing",Carbon based fuels,2.081,
1994,A,"Agriculture, forestry and fishing",Carbon based fuels,2.102,
1995,A,"Agriculture, forestry and fishing",Carbon based fuels,2.149,
1996,A,"Agriculture, forestry and fishing",Carbon based fuels,2.284,
1997,A,"Agriculture, forestry and fishing",Carbon based fuels,2.171,
1998,A,"Agriculture, forestry and fishing",Carbon based fuels,2.116,
1999,A,"Agriculture, forestry and fishing",Carbon based fuels,2.196,
2000,A,"Agriculture, forestry and fishing",Carbon based fuels,2.082,
2001,A,"Agriculture, forestry and fishing",Carbon based fuels,2.096,
2002,A,"Agriculture, forestry and fishing",Carbon based fuels,2.178,
2003,A,"Agriculture, forestry and fishing",Carbon based fuels,2.195,
2004,A,"Agriculture, forestry and fishing",Carbon based fuels,2.313,
2005,A,"Agriculture, forestry and fishing",Carbon based fuels,2.332,
2006,A,"Agriculture, forestry and fishing",Carbon based fuels,2.284,
2007,A,"Agriculture, forestry and fishing",Carbon based fuels,2.305,
2008,A,"Agriculture, forestry and fishing",Carbon based fuels,2.545,
2009,A,"Agriculture, forestry and fishing",Carbon based fuels,2.377,
2010,A,"Agriculture, forestry and fishing",Carbon based fuels,2.278,
2011,A,"Agriculture, forestry and fishing",Carbon based fuels,2.068,
2012,A,"Agriculture, forestry and fishing",Carbon based fuels,2.366,
2013,A,"Agriculture, forestry and fishing",Carbon based fuels,2.06,
2014,A,"Agriculture, forestry and fishing",Carbon based fuels,2.192,
2015,A,"Agriculture, forestry and fishing",Carbon based fuels,2.367,
2016,A,"Agriculture, forestry and fishing",Carbon based fuels,2.259,
2017,A,"Agriculture, forestry and fishing",Carbon based fuels,2.356,
2018,A,"Agriculture, forestry and fishing",Carbon based fuels,2.328,
2019,A,"Agriculture, forestry and fishing",Carbon based fuels,2.112,
2020,A,"Agriculture, forestry and fishing",Carbon based fuels,2.043,
2021,A,"Agriculture, forestry and fishing",Carbon based fuels,2.354,
1990,B,Mining and quarrying,Carbon based fuels,7.186,
1991,B,Mining and quarrying,Carbon based fuels,7.111,
1992,B,Mining and quarrying,Carbon based fuels,7.384,
1993,B,Mining and quarrying,Carbon based fuels,7.853,
1994,B,Mining and quarrying,Carbon based fuels,7.947,
1995,B,Mining and quarrying,Carbon based fuels,7.776,
1996,B,Mining and quarrying,Carbon based fuels,8.136,
1997,B,Mining and quarrying,Carbon based fuels,8.556,
1998,B,Mining and quarrying,Carbon based fuels,8.88,
1999,B,Mining and quarrying,Carbon based fuels,8.884,
2000,B,Mining and quarrying,Carbon based fuels,8.845,
2001,B,Mining and quarrying,Carbon based fuels,9.254,
2002,B,Mining and quarrying,Carbon based fuels,8.933,
2003,B,Mining and quarrying,Carbon based fuels,8.574,
2004,B,Mining and quarrying,Carbon based fuels,8.307,
2005,B,Mining and quarrying,Carbon based fuels,8.004,
2006,B,Mining and quarrying,Carbon based fuels,7.558,
2007,B,Mining and quarrying,Carbon based fuels,7.325,
2008,B,Mining and quarrying,Carbon based fuels,7.347,
2009,B,Mining and quarrying,Carbon based fuels,7.217,
2010,B,Mining and quarrying,Carbon based fuels,7.088,
2011,B,Mining and quarrying,Carbon based fuels,6.121,
2012,B,Mining and quarrying,Carbon based fuels,5.593,
2013,B,Mining and quarrying,Carbon based fuels,5.397,
2014,B,Mining and quarrying,Carbon based fuels,5.355,
2015,B,Mining and quarrying,Carbon based fuels,5.91,
2016,B,Mining and quarrying,Carbon based fuels,5.857,
2017,B,Mining and quarrying,Carbon based fuels,5.882,
2018,B,Mining and quarrying,Carbon based fuels,5.714,
2019,B,Mining and quarrying,Carbon based fuels,5.866,
2020,B,Mining and quarrying,Carbon based fuels,5.614,
2021,B,Mining and quarrying,Carbon based fuels,5.109,
1990,C,Manufacturing,Carbon based fuels,53.009,
1991,C,Manufacturing,Carbon based fuels,53.279,
1992,C,Manufacturing,Carbon based fuels,51.283,
1993,C,Manufacturing,Carbon based fuels,50.629,
1994,C,Manufacturing,Carbon based fuels,51.153,
1995,C,Manufacturing,Carbon based fuels,50.922,
1996,C,Manufacturing,Carbon based fuels,51.897,
1997,C,Manufacturing,Carbon based fuels,51.57,
1998,C,Manufacturing,Carbon based fuels,50.269,
1999,C,Manufacturing,Carbon based fuels,50.676,
2000,C,Manufacturing,Carbon based fuels,50.59,
2001,C,Manufacturing,Carbon based fuels,47.947,
2002,C,Manufacturing,Carbon based fuels,44.388,
2003,C,Manufacturing,Carbon based fuels,45.624,
2004,C,Manufacturing,Carbon based fuels,44.628,
2005,C,Manufacturing,Carbon based fuels,45.13,
2006,C,Manufacturing,Carbon based fuels,43.942,
2007,C,Manufacturing,Carbon based fuels,42.839,
2008,C,Manufacturing,Carbon based fuels,40.518,
2009,C,Manufacturing,Carbon based fuels,35.042,
2010,C,Manufacturing,Carbon based fuels,35.965,
2011,C,Manufacturing,Carbon based fuels,34.94,
2012,C,Manufacturing,Carbon based fuels,33.296,
2013,C,Manufacturing,Carbon based fuels,33.957,
2014,C,Manufacturing,Carbon based fuels,32.682,
2015,C,Manufacturing,Carbon based fuels,30.726,
2016,C,Manufacturing,Carbon based fuels,27.934,
2017,C,Manufacturing,Carbon based fuels,27.86,
2018,C,Manufacturing,Carbon based fuels,27.27,
2019,C,Manufacturing,Carbon based fuels,27.236,
2020,C,Manufacturing,Carbon based fuels,26.0,
2021,C,Manufacturing,Carbon based fuels,26.015,
1990,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,56.038,
1991,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,54.594,
1992,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.866,
1993,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,49.416,
1994,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,49.482,
1995,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,50.426,
1996,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.483,
1997,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,49.632,
1998,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.581,
1999,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.658,
2000,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,55.29,
2001,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,57.874,
2002,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,56.76,
2003,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,59.025,
2004,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,59.611,
2005,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,59.868,
2006,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,61.582,
2007,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,61.772,
2008,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,61.432,
2009,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,54.616,
2010,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,56.961,
2011,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.117,
2012,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,51.341,
2013,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,48.081,
2014,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,41.951,
2015,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,36.07,
2016,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,32.787,
2017,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,29.406,
2018,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,27.007,
2019,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,24.494,
2020,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,20.725,
2021,D,"Electricity, gas, steam and air conditioning supply",Carbon based fuels,22.774,
1990,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.734,
1991,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.992,
1992,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.992,
1993,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.962,
1994,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.978,
1995,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.949,
1996,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.01,
1997,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.897,
1998,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.682,
1999,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.139,
2000,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.208,
2001,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.204,
2002,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.978,
2003,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.953,
2004,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.0,
2005,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.092,
2006,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.1,
2007,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,1.008,
2008,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.865,
2009,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.819,
2010,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.878,
2011,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.822,
2012,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.813,
2013,E,"Water supply; sewerage, waste management and remediation activities",Carbon based fuels,0.792,
